review_month,monthly_review_count,monthly_avg_rating,monthly_negative_ratio,monthly_helpful_vote
2010-06,12,4.417,0.0,8
2010-07,18,4.0,0.222,302
2010-08,21,4.571,0.0,25
2010-09,15,3.933,0.133,18
2010-10,24,3.917,0.208,48
2010-11,18,4.333,0.056,20
2010-12,16,4.125,0.125,65
2011-01,23,4.043,0.174,34
2011-02,24,3.625,0.333,52
2011-03,24,3.583,0.25,107
2011-04,20,3.5,0.35,26
2011-05,21,3.667,0.238,54
2011-06,8,4.375,0.0,6
2011-07,18,3.833,0.278,82
2011-08,26,3.846,0.269,62
2011-09,24,3.875,0.208,76
2011-10,25,4.16,0.12,272
2011-11,20,4.5,0.0,50
2011-12,21,4.19,0.143,53
2012-01,22,4.273,0.136,65
2012-02,21,3.952,0.238,43
2012-03,17,3.412,0.353,105
2012-04,25,4.48,0.08,105
2012-05,20,3.85,0.25,41
2012-06,15,4.133,0.133,29
2012-07,38,4.289,0.158,113
2012-08,26,4.615,0.038,40
2012-09,27,3.556,0.259,42
2012-10,18,4.111,0.111,16
2012-11,38,4.263,0.079,128
2012-12,85,4.071,0.129,262
2013-01,93,4.301,0.118,142
2013-02,91,4.33,0.11,163
2013-03,79,4.127,0.127,128
2013-04,85,4.341,0.071,236
2013-05,93,4.323,0.097,153
2013-06,79,4.203,0.139,192
2013-07,88,4.08,0.148,170
2013-08,112,4.179,0.134,240
2013-09,79,4.278,0.101,149
2013-10,86,4.314,0.035,270
2013-11,84,4.226,0.131,116
2013-12,122,4.057,0.131,382
2014-01,136,4.169,0.103,201
2014-02,120,4.267,0.1,201
2014-03,159,4.157,0.151,255
2014-04,115,3.957,0.191,359
2014-05,149,4.121,0.174,280
2014-06,138,4.246,0.116,243
2014-07,230,4.065,0.174,389
2014-08,239,4.238,0.13,253
2014-09,209,4.254,0.134,220
2014-10,240,4.104,0.154,222
2014-11,263,4.217,0.118,202
2014-12,323,4.195,0.136,455
2015-01,355,4.13,0.158,264
2015-02,360,4.153,0.142,325
2015-03,449,4.209,0.134,669
2015-04,414,4.271,0.111,599
2015-05,346,4.277,0.121,303
2015-06,405,4.242,0.121,384
2015-07,417,4.156,0.141,469
2015-08,460,4.202,0.146,525
2015-09,459,4.211,0.139,399
2015-10,493,4.112,0.15,518
2015-11,502,4.131,0.139,584
2015-12,541,4.244,0.122,790
2016-01,705,4.174,0.139,1100
2016-02,662,4.159,0.14,1260
2016-03,738,4.137,0.14,920
2016-04,754,4.179,0.127,866
2016-05,756,4.115,0.153,733
2016-06,784,4.274,0.124,1050
2016-07,821,4.123,0.156,933
2016-08,852,4.218,0.12,1356
2016-09,796,4.089,0.156,1012
2016-10,811,4.155,0.139,980
2016-11,854,4.105,0.156,957
2016-12,1001,4.197,0.14,1233
2017-01,1093,4.188,0.133,1124
2017-02,828,4.14,0.14,744
2017-03,981,4.156,0.139,1122
2017-04,894,4.116,0.15,1261
2017-05,856,4.116,0.151,1031
2017-06,822,4.163,0.133,707
2017-07,907,4.079,0.16,1152
2017-08,823,4.079,0.166,759
2017-09,811,4.134,0.149,772
2017-10,854,4.049,0.163,607
2017-11,765,3.978,0.179,752
2017-12,769,4.043,0.177,1171
2018-01,1030,3.976,0.196,1138
2018-02,842,4.074,0.165,875
2018-03,1006,4.032,0.18,873
2018-04,978,4.014,0.178,806
2018-05,941,3.997,0.184,1062
2018-06,909,4.063,0.176,908
2018-07,1019,4.125,0.159,746
2018-08,972,4.079,0.17,1003
2018-09,687,4.025,0.18,560
2018-10,856,4.141,0.155,1146
2018-11,844,4.116,0.161,993
2018-12,976,4.065,0.167,1516
2019-01,1208,4.162,0.157,1225
2019-02,882,4.009,0.195,876
2019-03,1084,4.112,0.171,1738
2019-04,1039,4.053,0.165,990
2019-05,1150,4.126,0.166,1174
2019-06,1266,4.13,0.157,1218
2019-07,1452,4.17,0.154,1462
2019-08,1240,4.075,0.172,1682
2019-09,1258,4.055,0.181,1113
2019-10,1270,4.143,0.162,1322
2019-11,1223,4.137,0.157,952
2019-12,1656,4.115,0.163,1255
2020-01,1784,4.102,0.159,1655
2020-02,1497,4.124,0.162,1328
2020-03,1170,4.109,0.159,851
2020-04,1039,4.089,0.172,1386
2020-05,1355,4.0,0.201,1057
2020-06,1396,4.014,0.189,1251
2020-07,1674,4.027,0.181,1418
2020-08,1691,4.127,0.16,1310
2020-09,1542,4.073,0.169,1136
2020-10,1588,4.04,0.174,1600
2020-11,1502,4.066,0.168,945
2020-12,1617,4.002,0.174,982
2021-01,1764,4.022,0.183,1050
2021-02,1593,3.975,0.193,863
2021-03,1760,4.004,0.193,832
2021-04,1701,4.032,0.19,858
2021-05,1580,3.921,0.213,1276
2021-06,1555,3.914,0.215,853
2021-07,1503,3.965,0.198,951
2021-08,1236,3.853,0.231,662
2021-09,1065,3.847,0.229,636
2021-10,1016,3.855,0.225,467
2021-11,888,3.842,0.227,319
2021-12,985,3.822,0.238,405
2022-01,955,3.882,0.221,716
2022-02,764,3.796,0.242,522
2022-03,853,3.878,0.213,450
2022-04,757,3.868,0.223,653
2022-05,746,3.798,0.237,344
2022-06,675,3.917,0.206,382
2022-07,741,3.953,0.204,383
2022-08,790,3.934,0.196,465
2022-09,656,4.047,0.175,621
2022-10,634,4.014,0.188,191
2022-11,571,4.023,0.179,224
2022-12,529,4.1,0.166,199
2023-01,526,4.067,0.173,323
2023-02,397,3.937,0.199,177
2023-03,307,3.788,0.228,15
